,rho,mae,rmse,type,embedding,id
,0.740533946,0.347344379,0.674943113,ir_yr,t2m+tp+rh,10
,0.501235181,0.706989999,0.865231715,ir_yr,t2m+tp+rh,10
,0.583716112,0.551586166,0.821931648,ir_yr,t2m+tp+rh,10
,0.585429432,0.508028366,0.815486539,ir_yr,t2m+tp+rh,10
,0.816780719,0.424812472,0.599033632,ir_yr,t2m+tp+rh,10
,0.798608223,0.279605912,0.638018106,ir_yr,t2m+tp+rh,10
,0.765010619,0.434069431,0.641364877,ir_yr,t2m+tp+rh,10
,0.657692813,0.559219346,0.798030253,ir_yr,t2m+tp+rh,10
,0.738849305,0.496213375,0.674786763,ir_yr,t2m+tp+rh,10
,0.759612273,0.322368037,0.508233425,ir_yr,t2m+tp+rh,10
,0.765023713,0.49271311,0.638640009,ir_yr,t2m+tp+rh,10
,0.443509969,0.570795979,0.90604764,ir_yr,t2m+tp+svpd,11
,0.216780543,0.574685331,0.996678347,ir_yr,t2m+tp+svpd,11
,0.609430772,0.487017261,0.801667425,ir_yr,t2m+tp+svpd,11
,0.622374561,0.536780554,0.796529546,ir_yr,t2m+tp+svpd,11
,0.328676633,0.823543358,1.097495759,ir_yr,t2m+tp+svpd,11
,0.515542122,0.718881853,0.849939689,ir_yr,t2m+tp+svpd,11
,0.540102856,0.632962382,0.868246817,ir_yr,t2m+tp+svpd,11
,0.720935471,0.459421273,0.700017761,ir_yr,t2m+tp+svpd,11
,0.688255914,0.419687784,0.736324764,ir_yr,t2m+tp+svpd,11
,0.462637633,0.625609853,0.896116213,ir_yr,t2m+tp+svpd,11
,0.380082479,0.53016194,0.935488162,ir_yr,t2m+tp+svpd,11
,0.744199477,0.438218122,0.674109945,ir_yr,t2m+tp+svpd,11
,0.170414498,0.638900018,1.055843985,ir_yr,t2m+tp+svpd,11
,0.50966925,0.454786362,0.865044146,ir_yr,t2m+tp+svpd,11
,0.446849997,0.701529514,0.850750549,ir_yr,t2m+tp+svpd,11
,0.658303087,0.446540107,0.756992618,ir_yr,t2m+tp+svpd,11
,0.390494927,0.572150974,0.932551362,ir_yr,t2m+tp+svpd,11
,0.730592542,0.49374515,0.69545713,ir_yr,t2m+tp+svpd,11
,0.507654225,0.414558533,0.88745,ir_yr,t2m+tp+svpd,11
,0.60251832,0.54893849,0.80096083,ir_yr,t2m+tp+svpd,11
,0.533297226,0.587048911,0.888856265,ir_yr,t2m+tp+svpd,11
,0.695827699,0.496320277,0.718090708,ir_yr,t2m+tp+svpd,11
,0.741741056,0.321302435,0.531812756,ir_yr,t2m+tp+svpd,11
,0.663996931,0.565640147,0.74183997,ir_yr,t2m+tp+svpd,11
