date,Year,Month,Cases,Hemisphere,model,country,facet
2016/8/1,2016,8,-0.508450274,N,obs,Dominican Republic,N-obs
2016/9/1,2016,9,-0.569711701,N,obs,Dominican Republic,N-obs
2016/10/1,2016,10,-0.557251749,N,obs,Dominican Republic,N-obs
2016/11/1,2016,11,-0.599823249,N,obs,Dominican Republic,N-obs
2016/12/1,2016,12,-0.595669932,N,obs,Dominican Republic,N-obs
2017/1/1,2017,1,-0.675621285,N,obs,Dominican Republic,N-obs
2017/2/1,2017,2,-0.705732833,N,obs,Dominican Republic,N-obs
2017/3/1,2017,3,-0.68288959,N,obs,Dominican Republic,N-obs
2017/4/1,2017,4,-0.684966248,N,obs,Dominican Republic,N-obs
2017/5/1,2017,5,-0.613321529,N,obs,Dominican Republic,N-obs
2017/6/1,2017,6,-0.633049785,N,obs,Dominican Republic,N-obs
2017/7/1,2017,7,-0.609168212,N,obs,Dominican Republic,N-obs
2017/8/1,2017,8,-0.641356419,N,obs,Dominican Republic,N-obs
2017/9/1,2017,9,-0.621628163,N,obs,Dominican Republic,N-obs
2017/10/1,2017,10,-0.602938237,N,obs,Dominican Republic,N-obs
2017/11/1,2017,11,-0.652778041,N,obs,Dominican Republic,N-obs
2017/12/1,2017,12,-0.690157894,N,obs,Dominican Republic,N-obs
2018/1/1,2018,1,-0.700541187,N,obs,Dominican Republic,N-obs
2018/2/1,2018,2,-0.665237992,N,obs,Dominican Republic,N-obs
2018/3/1,2018,3,-0.619551505,N,obs,Dominican Republic,N-obs
2018/4/1,2018,4,-0.660046346,N,obs,Dominican Republic,N-obs
2018/5/1,2018,5,-0.688081236,N,obs,Dominican Republic,N-obs
2018/6/1,2018,6,-0.695349541,N,obs,Dominican Republic,N-obs
2018/7/1,2018,7,-0.684966248,N,obs,Dominican Republic,N-obs
2018/8/1,2018,8,-0.683927919,N,obs,Dominican Republic,N-obs
2018/9/1,2018,9,-0.637203102,N,obs,Dominican Republic,N-obs
2018/10/1,2018,10,-0.579056664,N,obs,Dominican Republic,N-obs
2018/11/1,2018,11,-0.495990323,N,obs,Dominican Republic,N-obs
2018/12/1,2018,12,-0.492875336,N,obs,Dominican Republic,N-obs
