"","country","climate_var","method","LibSize","q025","q500","q975"
"29","Mexico","t2m","seasonal",25,0.696753995640065,0.731549846372995,0.77343057294832
"30","Mexico","t2m","seasonal",30,0.694020993178243,0.734848556685604,0.779933210226551
"31","Mexico","t2m","seasonal",35,0.705253446421532,0.740419678723497,0.785789275788437
"32","Mexico","t2m","seasonal",40,0.710852759698343,0.747424809094424,0.789401520701008
"33","Mexico","t2m","seasonal",45,0.712568222739739,0.750983657686645,0.794700302057902
"34","Mexico","t2m","seasonal",50,0.712756884495028,0.751028510599616,0.794477430655891
"35","Mexico","t2m","seasonal",55,0.713732912800406,0.754862731744107,0.797191574898316
"36","Mexico","t2m","seasonal",60,0.716245247098062,0.756531708123276,0.798282815481112
"37","Mexico","tp","observed",5,0,0,0
"38","Mexico","tp","observed",10,0.653591191066316,0.653591191066316,0.653591191066316
"39","Mexico","tp","observed",15,0.734864005945847,0.734864005945847,0.734864005945847
"40","Mexico","tp","observed",20,0.756827626093098,0.756827626093098,0.756827626093098
"41","Mexico","tp","observed",25,0.773094984110939,0.773094984110939,0.773094984110939
